participant_id,activity,phase,window_id,start_time,end_time,mean_ENMO,sd_ENMO,median_ENMO,mad_ENMO,min_ENMO,max_ENMO,range_ENMO,dom_freq,spectral_entropy,energy_band_1,energy_band_2,energy_band_3,zero_crossing_rate
GOAWE,debout immobile,1,30,2024-09-19T15:47:25Z,2024-09-19T15:47:29.966667Z,-0.0208658582526324,0.00332521348809222,-0.0206308319145259,0.00263114903983033,-0.0330890370802638,-0.0132173883865205,0.0198716486937433,6.08108108108108,3.2394826816986,0.0271210790579257,0.195276407053967,0.727637986118611,0.373333333333333
GOAWE,debout immobile,1,31,2024-09-19T15:47:30Z,2024-09-19T15:47:34.966667Z,-0.020142930537517,0.00399590572483134,-0.0197274109429484,0.0039525742446447,-0.034188533808963,-0.0104467683470859,0.0237417654618771,2.02702702702703,3.01636195050078,0.072353789537113,0.316114122649547,0.584694298904114,0.333333333333333
GOAWE,debout immobile,1,32,2024-09-19T15:47:35Z,2024-09-19T15:47:39.966667Z,-0.0204933668350312,0.00316553261701757,-0.020361996596089,0.00299311341702318,-0.030406830523658,-0.0122314736043706,0.0181753569192874,4.05405405405405,3.50978550942034,0.0409680901893013,0.178713839394431,0.71867670095241,0.406666666666667
GOAWE,debout immobile,1,33,2024-09-19T15:47:40Z,2024-09-19T15:47:44.966667Z,-0.0193402857072314,0.00401295073688245,-0.019214233702034,0.00420616655171851,-0.0305351452386055,-0.00744074739881895,0.0230943978397865,2.22972972972973,3.09669890667557,0.0679615182872643,0.547527658718086,0.349383587710216,0.286666666666667
GOAWE,debout immobile,1,34,2024-09-19T15:47:45Z,2024-09-19T15:47:49.966667Z,-0.0201313943801424,0.00347927765910328,-0.0203853095427854,0.00300040919496586,-0.029531929395654,-0.00593066299408207,0.0236012664015719,2.02702702702703,3.22039549954139,0.0185844844355735,0.42095514213997,0.520857567656038,0.32
GOAWE,debout immobile,1,35,2024-09-19T15:47:50Z,2024-09-19T15:47:54.966667Z,-0.020376283758186,0.00435085919987705,-0.0204056505079613,0.00426078470649002,-0.0316822727705841,-0.00871897924747822,0.0229632935231059,4.05405405405405,3.17074001116467,0.00841142210784889,0.249782412429736,0.722413466603923,0.286666666666667
GOAWE,debout immobile,1,36,2024-09-19T15:47:55Z,2024-09-19T15:47:59.966667Z,-0.020350783070899,0.00343559427660819,-0.0200953760259489,0.00327169505757167,-0.0305462033796691,-0.0131404162350164,0.0174057871446527,6.08108108108108,3.30694000606238,0.0199863687431248,0.23943904004561,0.721518642878683,0.333333333333333
GOAWE,marche spontanee,1,1,2024-09-19T15:48:30Z,2024-09-19T15:48:34.966667Z,-0.000778051966289087,0.18766281376744,-0.0494452166244529,0.165749716257754,-0.346460175042788,0.499307168527076,0.845767343569864,1.82432432432432,2.26257162213323,0.000695505523155479,0.756366607685395,0.236958374338831,0.173333333333333
GOAWE,marche spontanee,1,2,2024-09-19T15:48:35Z,2024-09-19T15:48:39.966667Z,0.0120517362987545,0.224650658648342,-0.044347271448658,0.186519678576115,-0.390835588116452,0.65437379141541,1.04520937953186,1.82432432432432,1.89813401954677,0.000429144884497809,0.850432997823121,0.138635656338484,0.146666666666667
GOAWE,marche spontanee,1,3,2024-09-19T15:48:40Z,2024-09-19T15:48:44.966667Z,0.0211211719819959,0.243301229109686,-0.0195269633121051,0.229021034580724,-0.447373225012092,0.626376697627507,1.0737499226396,1.82432432432432,2.09343519353303,0.00515914431830682,0.802990320238746,0.182285642796776,0.146666666666667
GOAWE,marche spontanee,1,4,2024-09-19T15:48:45Z,2024-09-19T15:48:49.966667Z,0.00464591932062221,0.208638635373367,-0.0413936774418355,0.225893518224191,-0.316714112144435,0.647989496568299,0.964703608712734,1.82432432432432,1.95303098633681,0.00172555755983642,0.825250217270371,0.163673533414348,0.153333333333333
GOAWE,marche spontanee,1,5,2024-09-19T15:48:50Z,2024-09-19T15:48:54.966667Z,0.00110679273857733,0.208981640840884,-0.0574194464957453,0.164198275270756,-0.333889448040967,0.711745116733469,1.04563456477444,1.82432432432432,1.78151848165492,0.00263759316713111,0.786199061466313,0.204636691094553,0.16
GOAWE,marche spontanee,1,6,2024-09-19T15:48:55Z,2024-09-19T15:48:59.966667Z,0.0141637214716222,0.210358709659011,-0.0746461115176096,0.1527607879321,-0.280547447009965,0.662600393806391,0.943147840816355,1.82432432432432,2.06169796592888,0.00403101252491913,0.764552211500316,0.227206536344659,0.153333333333333
GOAWE,marche spontanee,1,7,2024-09-19T15:49:00Z,2024-09-19T15:49:04.966667Z,0.009612614761296,0.236004786220512,-0.0474614083065446,0.175978332015759,-0.415766186570571,0.626533493993506,1.04229968056408,1.82432432432432,2.16599767739085,0.00934190410719239,0.785920354450936,0.20027980916286,0.213333333333333
GOAWE,marche spontanee,1,8,2024-09-19T15:49:05Z,2024-09-19T15:49:09.966667Z,0.00707172751015189,0.213075259063698,-0.0346923276425286,0.205687330906363,-0.357589200373255,0.583539287484938,0.941128487858193,1.82432432432432,1.96743773867622,0.00058025713914579,0.830518607617181,0.160994697312071,0.16
GOAWE,marche spontanee,1,9,2024-09-19T15:49:10Z,2024-09-19T15:49:14.966667Z,-0.00179881553891465,0.179042128748249,-0.0452041747740432,0.142891027801964,-0.266632365612102,0.537137036423663,0.803769402035765,1.82432432432432,1.73397569785881,0.000936281239098973,0.758377097310581,0.225903594298205,0.16
GOAWE,marche spontanee,1,10,2024-09-19T15:49:15Z,2024-09-19T15:49:19.966667Z,0.00543876690294171,0.19489989188039,-0.0445764817542979,0.202252069904782,-0.278624134840453,0.539241250789537,0.81786538562999,1.82432432432432,1.73145918681816,0.000914048409347102,0.841459980157453,0.148349370102564,0.14
GOAWE,marche spontanee,1,11,2024-09-19T15:49:20Z,2024-09-19T15:49:24.966667Z,0.000351350982612274,0.201192762963061,-0.0546114100861424,0.150784565014985,-0.379658120503726,0.55320141672778,0.932859537231506,1.82432432432432,1.8292654920643,0.000854619434763687,0.787127833714036,0.202091357096665,0.133333333333333
GOAWE,marche spontanee,1,12,2024-09-19T15:49:25Z,2024-09-19T15:49:29.966667Z,0.0208834824864162,0.220728600098078,-0.0437521942744422,0.220961202543598,-0.355949859639775,0.596766521226132,0.952716380865906,1.82432432432432,1.76204270584693,0.00857855350010413,0.843314909976271,0.141162873145287,0.133333333333333
GOAWE,marche spontanee,1,13,2024-09-19T15:49:30Z,2024-09-19T15:49:34.966667Z,0.0101124275959109,0.204028396335035,-0.035937686716238,0.200688386704857,-0.337648426426337,0.588135560926179,0.925783987352516,1.82432432432432,1.67697713291175,0.000995997462495696,0.860477529425004,0.127526873857057,0.14
